video_id,video_title,upload_date,view_count,like_count
2xc93O5xW_o,OFK kubogi. Ro&#39;ziqul Berdiev: &quot;Ertangi g&#39;alabamiz O&#39;zbekiston uchun katta foyda bo&#39;lishi mumkin&quot;,2021-09-21,5038,183
69EaZZAGlYE,Superliga. Turon - Navbahor 0:1. Highlights,2021-09-20,7444,123
CM_-a1h_7cs,Superliga. Qizilqum - AGMK 0:0. Highlights,2021-09-20,1223,29
HYkqgkDiPI0,Ota loyihasi. &quot;Paxtakor&quot; himoyachisi Hojiakbar Alijonovning dadasi Ulug‘bek aka bilan suhbat,2021-09-20,1414,52
XwUzil8c1gk,Superliga. Metallurg - Qo’qon-1912 0:1. Highlights,2021-09-19,2031,42
qI_eniM_SH4,Superliga. Andijon – Paxtakor 1:0. Highlights,2021-09-19,18796,323
Bn1QmHQgPLo,"&quot;Jurnalist minbari&quot;. Eldor Mustafoyev - sharhlovchilar, MTRK va superliga haqida",2021-09-19,6438,254
ccENOW02QwI,Futzalda Tarixiy g&#39;alaba Terma Jamoa jahon chempionati chorak finaliga chiqdi,2021-09-19,15647,775
BofTWy6D53Y,Superliga-2021. 18-turning eng chiroyli gollari TOP-5,2021-09-18,2522,60
kutawrshsP4,Superliga-2021. 18-turning barcha gollari,2021-09-18,1411,30
9nHtdZlZtos,"Matbuot anjumani, Eldorda 2 assist Mour yana nimadan norozi.",2021-09-17,27871,621
31C_eYUVmG8,Shomurodovning SSKA Sofiyaga qarshi o&#39;yindagi ikki golli uzatmasi va o&#39;yindagi harakatlari,2021-09-17,24877,490
EkyX_G7QHjo,Superliga. So&#39;g&#39;diyona - Bunyodkor 0:0.Highlights,2021-09-16,1845,38
4uKhUPRl-Mo,"&quot;Andijon&quot;dek mehribon komandani qayerdan topasilar, yana keselar yana 3 ochko beradi ©️",2021-09-16,4365,39
jG8M5lW4V5s,"Yaxshiboyev qaytdi, Gol va Assist  Sherifda g&#39;alaba, keyingi o&#39;yin Real Madridga qarshi",2021-09-16,21848,607
64HopvBYQsk,Superliga. Paxtakor - Navbahor 0:0. Highlights,2021-09-15,8477,150
RXRTb53nZX4,Superliga. Andijon - Metallurg 1:2. Highlights,2021-09-15,2402,49
ZEaXPkoYVSc,Superliga. Qo’qon-1912 - Mash’al 2:2. Highlights,2021-09-14,3137,71
bzkgJ_Y9_9g,Futbolda yangi davr boshlanmoqda,2021-09-13,11052,491
QqNNZmYX73w,&quot;Tezkor studiya&quot;. Futzalchilarimizga nima bo&#39;ldi? Superligada dabdala o&#39;yinlar,2021-09-13,4770,137
5YMjfGB1QqU,Superliga-2021. 17-turning eng chiroyli gollari TOP-5,2021-09-12,4542,61
bgn5N7ip_ew,Superliga-2021. 17-turning barcha gollari,2021-09-12,1748,46
SaFXyqujUSE,Superliga. &quot;Turon&quot; - &quot;Nasaf&quot; 0:2. Highlights,2021-09-11,7770,193
acE8caV45nM,Superliga. Qizilqum - Lokomotiv 0:0. Highlights,2021-09-11,1179,29
ATyc8XlIBNY,Superliga. Surxon - So&#39;g&#39;diyona 0:1. Highlights,2021-09-11,2199,54
eaKUv-tcQXI,"Termada yo&#39;qotish jarohat jiddiy, shvetsiyalik futbolchi uzr so&#39;radi  Eldor haqida fikrlar",2021-09-11,9406,327
6ECGdQnsjlo,Superliga. Navbahor - AGMK 0:0. Highlights,2021-09-10,4585,77
